id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,budget
13513592,Cozy Private Room w/ Queen-sized Bed near Columbia,19540198,Wanyi,Manhattan,Morningside Heights,40.80346,-73.96488000000001,Private room,50,7,0,,,1,0,Average
13532669,뉴욕의 꿈꾸는 집 (for women),77809736,Seohee,Manhattan,Morningside Heights,40.81005,-73.9599,Shared room,70,3,1,2017-03-19,0.04,2,0,Average
13550201,"Manhattan-very close to everywhere
muy cercadetodo",71886811,W. Alvaro,Manhattan,Morningside Heights,40.814409999999995,-73.9589,Private room,67,6,22,2019-04-27,0.59,3,90,Average
13559570,Manhattan-very close to everywhere muycerca detodo,71886811,W. Alvaro,Manhattan,Morningside Heights,40.81558,-73.95846999999999,Private room,73,6,11,2018-10-21,0.31,3,90,Average
13606337,"Spacious and clean room, near Columbia University",78727422,Xiaoxu,Manhattan,Morningside Heights,40.80325,-73.96433,Private room,50,10,1,2016-07-19,0.03,1,0,Average
13617449,Morningside Heights: Comfy and Cozy 1 BR,32219748,JacQueline,Manhattan,Morningside Heights,40.81005,-73.9572,Entire home/apt,105,5,2,2016-08-29,0.06,1,0,Average
13641625,Private rooms in beautiful apartment on UWS,26621764,Marit,Manhattan,Morningside Heights,40.80534,-73.96654000000001,Private room,150,1,0,,,1,0,Average
13666116,Private Room in Morningside Heights,79459633,Andrew,Manhattan,Morningside Heights,40.80442,-73.96361999999999,Private room,90,2,8,2017-09-11,0.22,1,0,Average
13679698,Private Bedroom close to Subway and Central Park,23088190,Florence,Manhattan,Morningside Heights,40.80364,-73.96540999999999,Private room,69,3,1,2016-07-08,0.03,1,0,Average
13694129,"Manhattan-very close to everywhere
muy cercadetodo",71886811,W. Alvaro,Manhattan,Morningside Heights,40.81596,-73.95999,Private room,86,6,34,2019-03-27,0.93,3,90,Average
13696003,"Beautiful, well-lit pre-war apt",3792661,Ben,Manhattan,Morningside Heights,40.809740000000005,-73.96034,Private room,90,7,4,2017-12-17,0.12,1,0,Average
13837891,"Spotless, Classy, Quiet Morningside Hts. Apartment",662794,MG & Larry,Manhattan,Morningside Heights,40.81171,-73.96351999999999,Entire home/apt,200,5,22,2019-06-28,0.61,1,5,Average
13855981,"Gorgeous, spacious and naturally lit 3BR!",912993,Hadar,Manhattan,Morningside Heights,40.80595,-73.95812,Entire home/apt,172,4,0,,,1,0,Average
13884628,"Luxury Room (rm3), 5 mins from Columbia",21410914,Eugene,Manhattan,Morningside Heights,40.810970000000005,-73.96001,Private room,110,3,68,2019-06-24,1.88,6,128,Average
13884778,"Luxury Room (rm2), 5 mins from Columbia",21410914,Eugene,Manhattan,Morningside Heights,40.81093,-73.95928,Private room,100,3,81,2019-06-22,2.24,6,133,Average
13911206,Bright apartment across from Riverside Park,359424,Tal,Manhattan,Morningside Heights,40.80734,-73.9673,Entire home/apt,250,3,1,2016-08-15,0.03,1,0,Average
14084988,Beautiful and super clean 1-bedroom in Morningside,64960421,Valeria,Manhattan,Morningside Heights,40.80408,-73.96347,Entire home/apt,120,3,6,2019-05-23,0.17,1,8,Average
14110144,Cozy 1+ br apt. on Riverside Dr,8349334,Benjamin,Manhattan,Morningside Heights,40.80822,-73.96566999999999,Entire home/apt,190,5,9,2019-01-02,0.26,1,0,Average
14744425,An Apartment for Families near by Tom's Restaurant,11158576,Mustafa,Manhattan,Morningside Heights,40.80429,-73.96499,Entire home/apt,175,2,2,2016-09-10,0.06,1,0,Average
14824230,Cozy quiet room in Morningside brownstone,92690603,Ruth,Manhattan,Morningside Heights,40.80576,-73.95832,Private room,85,3,49,2019-06-14,1.46,1,2,Average
14881794,Nice bedroom by Riverside & Columbia University,45748188,Ali,Manhattan,Morningside Heights,40.81231,-73.95858,Private room,60,2,20,2017-08-13,0.59,1,0,Average
15294943,Beautiful Private Room near Columbia University,21594748,Gabriel,Manhattan,Morningside Heights,40.80751,-73.96619,Private room,110,2,5,2017-09-15,0.15,2,0,Average
15910664,Comfy room near trendy Columbia University,2388537,Andrea,Manhattan,Morningside Heights,40.816759999999995,-73.96069,Private room,100,3,6,2018-10-02,0.19,2,0,Average
16069925,Great location in NYC!,13599766,David,Manhattan,Morningside Heights,40.80325,-73.96174,Private room,80,8,3,2018-06-03,0.1,1,79,Average
16096372,spacious 1 bdrm apt on the Hudson River,633395,Naama,Manhattan,Morningside Heights,40.809,-73.9661,Entire home/apt,150,5,3,2018-06-29,0.1,1,25,Average
16205219,Double room in spacious Morningside apartment,28365672,Lucy,Manhattan,Morningside Heights,40.80793,-73.95799,Private room,55,6,0,,,1,0,Average
16206794,1BR apartment one block from Columbia U and subway,9601972,Samer,Manhattan,Morningside Heights,40.80724,-73.96348,Entire home/apt,189,2,1,2017-01-04,0.03,1,0,Average
16226031,Spacious One Bedroom Apartment,106030531,Pablo,Manhattan,Morningside Heights,40.81456,-73.95953,Entire home/apt,110,7,1,2018-01-06,0.05,1,0,Average
16242067,Private bedroom in Morningside Heights,11081130,Sai Swaroop,Manhattan,Morningside Heights,40.81447,-73.9593,Private room,37,5,0,,,1,0,Average
